account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0409,2628.0,645.16,voter,0,209.16,0.0,0
node_0410,9349.0,8824.96,voter,0,693.96,0.0,0
node_0411,2599.0,1739.34,voter,0,436.34,0.0,0
node_0412,1386.0,1402.33,voter,0,74.33,0.0,0
node_0413,8007.0,8287.42,voter,3,2116.42,0.0,1
node_0414,4525.0,6073.98,voter,0,530.98,0.0,0
node_0415,5705.0,5190.31,voter,0,586.31,0.0,0
node_0416,9767.0,9959.58,voter,0,2769.58,0.0,0
node_0417,794.0,2235.87,voter,0,46.87,0.0,0
node_0418,175.0,121.17,voter,0,34.17,0.0,0
node_0419,2298.0,197.83,voter,0,167.83,0.0,0
node_0420,5425.0,4460.55,voter,0,1591.55,0.0,0
node_0421,7105.0,7046.08,voter,0,1905.08,0.0,0
node_0422,8775.0,10652.68,BP,10,4039.68,0.0,0
node_0423,1230.0,553.17,voter,0,101.17,0.0,0
node_0424,7197.0,5386.13,voter,0,415.13,0.0,0
node_0425,5179.0,5769.5,voter,0,1419.5,0.0,0
node_0426,6893.0,8854.75,voter,10,4143.75,0.0,0
node_0427,391.0,1510.94,voter,0,100.94,0.0,0
node_0428,7588.0,3782.66,voter,0,995.66,0.0,0
node_0429,1493.0,1697.03,voter,0,320.03,0.0,0
node_0430,4036.0,2052.83,voter,0,489.83,0.0,0
node_0431,8634.0,8329.3,voter,0,1524.3,0.0,0
node_0432,5612.0,6396.01,voter,0,1826.01,0.0,0
node_0433,1301.0,806.64,voter,0,167.64,0.0,0
node_0434,8743.0,11540.8,voter,0,1828.8,0.0,0
node_0435,5802.0,6114.62,voter,0,878.62,0.0,0
node_0436,3921.0,7772.81,voter,0,675.81,0.0,0
node_0437,3282.0,1616.84,voter,0,465.84,0.0,0
node_0438,1284.0,1018.02,voter,0,125.02,0.0,0
node_0439,7651.0,7609.13,voter,7,2743.93,852.8,1
node_0440,9298.0,8088.69,voter,0,1441.69,0.0,0
node_0441,5229.0,7850.44,voter,0,1181.44,0.0,0
node_0442,7732.0,10230.42,voter,4,2246.36,1141.94,1
node_0443,4550.0,3579.89,voter,3,826.87,391.99,1
node_0444,8362.0,12430.96,voter,7,4196.51,1399.55,1
node_0445,7454.0,9205.76,voter,0,803.76,0.0,0
node_0446,4753.0,5713.8,voter,0,1401.8,0.0,0
node_0447,9783.0,9822.76,voter,0,2832.76,0.0,0
node_0448,9558.0,12973.91,BP,10,3129.58,1418.67,2
node_0449,7418.0,8112.38,voter,3,2562.38,0.0,1
node_0450,5317.0,4034.36,voter,0,383.36,0.0,0
node_0451,1063.0,453.09,voter,0,48.09,0.0,0
node_0452,1431.0,94.43,voter,0,34.43,0.0,0
node_0453,691.0,1372.27,voter,0,77.27,0.0,0
node_0454,7249.0,6765.28,voter,0,701.28,0.0,0
node_0455,6012.0,4273.13,voter,0,1002.13,0.0,0
node_0456,6397.0,6948.74,voter,0,1195.74,0.0,0
node_0457,9845.0,10327.58,BP,8,3203.58,0.0,1
node_0458,1129.0,214.42,voter,0,88.42,0.0,0
node_0459,4705.0,4198.79,voter,0,575.79,0.0,0
node_0460,5511.0,6900.49,voter,0,1045.49,0.0,0
node_0461,5781.0,5694.17,voter,9,2098.17,0.0,0
node_0462,2162.0,1926.0,voter,0,0.0,0.0,0
node_0463,5122.0,6368.04,voter,0,847.04,0.0,0
node_0464,2143.0,1783.49,voter,0,411.49,0.0,0
node_0465,6987.0,8489.63,voter,0,2025.63,0.0,0
node_0466,5990.0,7760.74,CBP,7,2299.74,0.0,0
node_0467,5648.0,6574.77,voter,0,1389.77,0.0,0
node_0468,3195.0,2100.79,voter,0,613.79,0.0,0
node_0469,2588.0,2154.7,voter,0,173.7,0.0,0
node_0470,8367.0,11649.49,voter,10,4624.49,0.0,0
node_0471,5567.0,5634.06,voter,10,1918.06,0.0,0
node_0472,9835.0,12735.79,voter,0,2803.79,0.0,0
node_0473,3012.0,2621.92,voter,0,285.92,0.0,0
node_0474,7220.0,4675.91,voter,0,503.91,0.0,0
node_0475,3941.0,5049.03,voter,0,545.03,0.0,0
node_0476,7405.0,9631.63,voter,10,3093.63,0.0,0
node_0477,5120.0,6600.19,voter,10,1880.19,0.0,0
node_0478,3228.0,4215.11,voter,0,545.11,0.0,0
node_0479,7614.0,8767.37,voter,10,3255.37,0.0,0
node_0480,8289.0,12566.73,voter,12,3863.73,0.0,0
node_0481,3321.0,4352.1,voter,0,1186.1,0.0,0
node_0482,4146.0,2652.77,voter,0,523.77,0.0,0
node_0483,6131.0,5533.8,voter,0,561.8,0.0,0
node_0484,8502.0,12613.17,voter,6,3720.17,0.0,1
node_0485,1424.0,184.67,voter,0,79.67,0.0,0
node_0486,7411.0,7618.6,voter,0,893.6,0.0,0
node_0487,7217.0,4861.18,voter,0,638.18,0.0,0
node_0488,7441.0,8206.43,voter,0,1506.43,0.0,0
node_0489,6847.0,6701.03,voter,0,2305.03,0.0,0
node_0490,3912.0,5579.61,voter,0,1236.61,0.0,0
node_0491,6192.0,4427.93,voter,0,259.93,0.0,0
node_0492,1673.0,1169.95,voter,0,342.95,0.0,0
node_0493,2442.0,1951.37,voter,0,96.37,0.0,0
node_0494,7790.0,8145.83,voter,0,1208.83,0.0,0
node_0495,7735.0,6921.42,voter,0,1057.42,0.0,0
node_0496,1348.0,1139.87,voter,0,143.87,0.0,0
node_0497,2499.0,1574.13,voter,0,118.13,0.0,0
node_0498,1871.0,2329.21,voter,0,216.21,0.0,0
node_0499,4984.0,5221.0,voter,0,612.0,0.0,0
node_0500,6928.0,10571.92,voter,17,4432.92,0.0,0
